OTU	663-046_Screening_Fecal_S121_L008	663-033_Screening_Fecal_S111_L008	663-026_Screening_Fecal_S103_L008	663-006_Screening_Fecal_S77_L008	663-004_Screening_Fecal_S75_L008	663-023_End_of_Treatment_S100_L008	663-013_C7D1_S85_L008	663-040_Screening_Fecal_S117_L008	663-007_Screening_Fecal_S78_L008	663-054_Screening_Fecal_S128_L008	663-038_Screening_Fecal_S114_L008	663-029_Screening_Fecal_S106_L008	663-030_Screening_Fecal_S107_L008	663-015_Screening_Fecal_S89_L008	663-040_C7D1_S118_L008	663-022_Screening_Fecal_S98_L008	663-032_Screening_Fecal_S109_L008	663-009_Screening_Fecal_S79_L008	663-023_Screening_Fecal_S99_L008	663-014_C7D1_S87_L008	663-045_Screening_Fecal_S119_L008	663-014_Screening_Fecal_S86_L008	663-028_Screening_Fecal_S105_L008	663-034_Screening_Fecal_S112_L008	663-052_Screening_Fecal_S125_L008	663-013_Screening_Fecal_S84_L008	663-021_Screening_Fecal_S97_L008	663-031_C7D1_S108_L008	663-003_Screening_Fecal_S73_L008	663-039_End_of_Treatment_S116_L008	663-020_Screening_Fecal_S95_L008	663-046_C7D1_S122_L008	663-003_End_of_Treatment_S74_L008	663-034_C7D1_S113_L008	663-018_Screening_Fecal_S92_L008	663-019_Screening_Fecal_S93_L008	663-051_Screening_Fecal_S124_L008	663-053_Screening_Fecal_S127_L008	663-002_Screening_Fecal_S71_L008	663-026_C7D1_S104_L008	663-009_C7D1_S80_L008	663-048_Screening_Fecal_S123_L008	663-045_End_of_Treatment_S120_L008	663-039_Screening_Fecal_S115_L008	663-014_End_of_Treatment_S88_L008	663-002_End_of_Treatment_S72_L008	663-052_End_of_Treatment_S126_L008	663-025_Screening_Fecal_S102_L008	663-011_Screening_Fecal_S81_L008	663-020_End_of_Treatment_S96_L008	663-017_Screening_Fecal_S91_L008	663-005_Screening_Fecal_S76_L008	663-024_Screening_Fecal_S101_L008	663-016_Screening_Fecal_S90_L008	663-012_Screening_Fecal_S82_L008	663-019_C7D1_S94_L008	663-012_End_of_Treatment_S83_L008	663-032_C7D1_S110_L008
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.05592	0	0.6902699999999999	0.17697000000000002	2.24534	0.25143000000000004	0.45852	0.45475	0.39278	0.26421	0.73306	2.79491	0.17882	0.8346299999999999	0.93758	0	0	2.25342	0.59332	1.8304099999999999	0	3.59018	0.73421	0.96398	0.9218200000000001	1.4501700000000002	0.25889	0	1.7066400000000002	0.6901	0.12476	2.51594	1.85263	0.81501	0	1.0356	0	0.09572	0.80328	3.30643	0.09286	0.26016999999999996	0	1.50589	1.54193	0.4105	0.02265	0.6755800000000001	1.0936299999999999	0.08369	0	0.46145	1.4072	0	0	0.18673	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.02259	1.50488	2.0583299999999998	0.6632600000000001	0.02103	0.6793600000000001	2.235	0	1.56617	2.50711	7.798080000000001	0.05797000000000001	1.95005	0.04748	0	0	16.61381	3.38866	0.1318	1.96595	0	3.1536299999999997	1.28609	11.54396	0.71477	4.90797	3.62494	0	0	0.02487	5.39623	0	0.06884	15.343960000000001	0	0.0018100000000000002	2.64223	0	0.42927	0.13419	3.40749	2.44759	0	0	3.03266	0.23226	0.23535	0.0027199999999999998	2.0472599999999996	0.58104	0.19612000000000002	0.5363	0	1.79148	0	7.99994	0	23.1538
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01694	0.21781	0.2013	0.04258	0.62963	1.1723700000000001	1.06433	0.5099899999999999	0.00484	0.06508	3.09565	0.33132	0.02071	0.4326	0.66175	0.22232	0	0.26321	0.96716	0.0942	0.08135	0.60828	0.21641	0.35233000000000003	0.23755	0.39664	0.04294	1.4139700000000002	0	0.0129	0.10979000000000001	0.39953	0.45733	0.52325	0.22959000000000002	9.90833	0.07661	1.6294	2.10265	0.06704	0.1024	0.0134	0.03284	0.05782999999999999	2.0952599999999997	3.34993	1.05059	0.02453	0.609	0.18111	0.21308000000000002	0.3499	0.4145	0.21445999999999998	0.1399	3.92109	0.08265	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.00609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0.01082	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	48.52151	0.1349	59.904469999999996	52.608430000000006	10.16842	48.53414	33.10249	21.86215	50.8872	37.89114	20.59989	76.14215	65.14358	41.51618	5.87453	15.13747	40.20223	21.27224	48.40659	14.335999999999999	40.06026	28.27419	17.3886	23.17785	65.26606	45.846309999999995	58.239830000000005	16.07674	58.584019999999995	77.60951999999999	42.046079999999996	40.46815	59.11844	13.00734	59.984280000000005	31.195359999999997	20.778489999999998	18.28654	13.99421	72.6329	37.11265	39.21686	38.53264	83.68236	33.51717	7.042439999999999	3.22249	37.17536	26.05475	26.03789	45.34104	67.42185	55.06131	24.39855	62.32495	61.16348000000001	46.18223	34.61992
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	42.5854	3.48262	35.644420000000004	34.749790000000004	47.467209999999994	28.45853	52.913740000000004	64.49754	19.502679999999998	57.18469	52.76259	19.44524	31.98518	53.76456999999999	63.45143	74.91450999999999	37.35524	23.00891	46.16894	52.42586	55.950559999999996	40.25577	29.6543	30.27877	27.602870000000003	36.570859999999996	14.69312	51.67259	15.061979999999998	20.72908	41.03324	47.7887	33.8906	37.15782	20.7241	51.45513	58.91123	37.00253	34.270790000000005	23.04685	16.86523	44.789640000000006	60.66404	13.36377	37.97777	33.655570000000004	9.103589999999999	59.53295	21.41636	62.84141999999999	48.793079999999996	27.02208	30.75341	32.11157	34.28665	16.3605	53.27466999999999	12.72127
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	2.90632	0.01662	0.54315	4.868930000000001	3.4024400000000004	1.8164799999999999	2.6842599999999996	5.1426	3.4782900000000003	0.39325	3.9367300000000003	0.5898	0.09373	0.74343	7.156000000000001	4.0497	0	0.31425	0.9036200000000001	3.30536	0.27695	0.51063	1.78778	3.40139	2.62158	0.85009	0.12571	4.67045	0.66232	0.41753999999999997	2.04895	4.62849	1.64485	3.8213199999999996	0.78133	5.2860000000000005	1.44885	1.0911899999999999	1.92213	0.42145	0.4964	1.37961	0.69597	0.26932	1.17078	2.24364	1.8654	1.8351	0.35781	1.50833	1.2419	0.30894	0.53491	0.9032399999999999	0.73968	1.17527	0.39119	0.26668000000000003
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.79515	84.27833000000001	0.39931	0	15.635270000000002	0.15925	0.41595	0.13484000000000002	2.68582	0.09742999999999999	4.22272	0.18348	0	0	0.96378	1.2630299999999999	1.8238400000000001	7.0607	0.34498	0.02949	0.0356	0.02684	0.00806	23.307560000000002	1.00744	1.10111	0.07007000000000001	0.16575	0	0.07645	0.09673	1.91281	0.24164000000000002	16.375320000000002	0.44871000000000005	0.58735	10.00428	0.07153999999999999	3.0057099999999997	0.05934	0.62761	0.17215999999999998	0	0.04958	0.1102	40.15893	6.09989	0.38661999999999996	2.28265	0.48383000000000004	0.25255	0.06828	0.06846000000000001	0.24531999999999998	0.11235	6.16573	0	0.48666000000000004
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.60458	8.40922	0	2.32745	1.6977200000000001	14.17012	6.759869999999999	0.31371	0.28233	0	3.92131	0	0.58427	2.30596	2.0023299999999997	1.60006	0	0.9376899999999999	1.27711	13.519020000000001	3.5952699999999997	8.15896	4.8848	3.59343	0.00707	2.56415	0.17042000000000002	25.58195	0	0.06545	4.58421	1.5298100000000001	0.07289	7.490589999999999	0.0322	0.11829	3.24499	23.03192	35.957409999999996	0	0.9108700000000001	9.21186	0	0	10.6368	5.35358	77.85078	0.00605	12.76336	7.825830000000001	0.01986	2.77608	0.04087	39.28184	0.21161	0.6614800000000001	0.06925	0.00722
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.4855	0.08501	0.2167	0.04332	0	1.8327200000000001	0.30173	0.08073	1.38253	1.55829	0.51905	0	0	0	0	0	0	1.7749	0.61656	0	0	0	0	0.87684	0	0.38397	1.00032	0.3669	0.22421999999999997	0	3.41575	0.7219	0.22801999999999997	1.06461	0	0	1.70652	0	0.13552	0.25347	0	0	0	0	0	0.02837	0	0.30718	0.16609000000000002	0.17386	0.010159999999999999	0	0	0	0	0.72221	0	0
