OTU	663-046_Screening_Fecal_S121_L008	663-033_Screening_Fecal_S111_L008	663-026_Screening_Fecal_S103_L008	663-006_Screening_Fecal_S77_L008	663-004_Screening_Fecal_S75_L008	663-023_End_of_Treatment_S100_L008	663-013_C7D1_S85_L008	663-040_Screening_Fecal_S117_L008	663-007_Screening_Fecal_S78_L008	663-054_Screening_Fecal_S128_L008	663-038_Screening_Fecal_S114_L008	663-029_Screening_Fecal_S106_L008	663-030_Screening_Fecal_S107_L008	663-015_Screening_Fecal_S89_L008	663-040_C7D1_S118_L008	663-022_Screening_Fecal_S98_L008	663-032_Screening_Fecal_S109_L008	663-009_Screening_Fecal_S79_L008	663-023_Screening_Fecal_S99_L008	663-014_C7D1_S87_L008	663-045_Screening_Fecal_S119_L008	663-014_Screening_Fecal_S86_L008	663-028_Screening_Fecal_S105_L008	663-034_Screening_Fecal_S112_L008	663-052_Screening_Fecal_S125_L008	663-013_Screening_Fecal_S84_L008	663-021_Screening_Fecal_S97_L008	663-031_C7D1_S108_L008	663-003_Screening_Fecal_S73_L008	663-039_End_of_Treatment_S116_L008	663-020_Screening_Fecal_S95_L008	663-046_C7D1_S122_L008	663-003_End_of_Treatment_S74_L008	663-034_C7D1_S113_L008	663-018_Screening_Fecal_S92_L008	663-019_Screening_Fecal_S93_L008	663-051_Screening_Fecal_S124_L008	663-053_Screening_Fecal_S127_L008	663-002_Screening_Fecal_S71_L008	663-026_C7D1_S104_L008	663-009_C7D1_S80_L008	663-048_Screening_Fecal_S123_L008	663-045_End_of_Treatment_S120_L008	663-039_Screening_Fecal_S115_L008	663-014_End_of_Treatment_S88_L008	663-002_End_of_Treatment_S72_L008	663-052_End_of_Treatment_S126_L008	663-025_Screening_Fecal_S102_L008	663-011_Screening_Fecal_S81_L008	663-020_End_of_Treatment_S96_L008	663-017_Screening_Fecal_S91_L008	663-005_Screening_Fecal_S76_L008	663-024_Screening_Fecal_S101_L008	663-016_Screening_Fecal_S90_L008	663-012_Screening_Fecal_S82_L008	663-019_C7D1_S94_L008	663-012_End_of_Treatment_S83_L008	663-032_C7D1_S110_L008
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__Bacteroides_stercoris_unclassified	23.70273	0.00122	1.91278	0	0	0.0478	2.5023400000000002	5.98227	0	0.00426	1.54786	0.02052	48.24238	0.00335	0.22088000000000002	0.00868	0.00924	0	0.0037	0.0018800000000000002	0	0	0.03195	2.11275	1.14626	4.42082	0	0.01014	0	0	0.5300199999999999	8.22253	0	1.13418	22.605539999999998	1.66002	9.10303	0.03034	0.32811999999999997	4.22468	0	11.97746	0.046939999999999996	0.00702	0	0.016280000000000003	0.19099000000000002	0.46488999999999997	7.911160000000001	0.43637	0	0.01135	3.9835599999999998	0	0.00495	2.2617700000000003	0.013359999999999999	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	10.89846	0.10962000000000001	13.93188	0	0	0.11033	14.16291	0.37598000000000004	1.8774099999999998	9.62612	21.10245	0	0.35544000000000003	0.0020399999999999997	0.9576399999999999	3.70384	26.105610000000002	0.0219	23.840020000000003	27.6115	0.00233	0	0.0171	6.814439999999999	0	1.23066	6.7708	0	0.00335	0	5.31617	13.23224	0	2.59668	0	2.87146	22.83595	0.6893199999999999	2.31644	2.2029900000000002	0	7.980169999999999	6.29361	0.006	2.9106799999999997	0.42321000000000003	0.89433	8.83634	0	1.5339399999999999	0.00103	0.42544	0.00592	0	2.37922	0.97616	4.66303	5.29066
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA|t__GCF_000159975	6.97235	0	1.86917	0	0	0	4.85571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6974099999999999	0	0	0	0	0	0	0	0	3.39466	4.55065	0	0	0	0	0	0	0	2.97775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius|t__GCF_000187895	5.4652400000000005	0	0	0	0	1.0574	0	0	0	0	0	0.00103	4.37911	0	0	0.9406200000000001	0	0	2.69386	0	0	0	0	0.04116	0	0	0	0	0	0	0.09579	3.03199	0	0.00391	0	0.5746	0	0.04647	0	0	0	0	0	0	0	0	0	0	0	0.02503	0	0	0	0	0	2.54517	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified	5.09323	0.045160000000000006	10.10184	0.31445	0.04464	14.744879999999998	6.761539999999999	5.31248	2.02735	10.59854	9.11312	0.013590000000000001	0	0.00952	0.20584000000000002	3.06751	0	0.04924	10.83814	0.030239999999999996	8.27399	0	0.31411	6.84705	13.579	5.51195	0.87236	0.00938	0.01456	0	9.16718	0.35249	0.00195	14.174760000000001	0.0012900000000000001	5.38984	24.031489999999998	4.67876	1.8449	9.36858	1.8897700000000002	9.57197	1.32254	0.0018399999999999998	0.01269	0.68271	0.1197	3.46365	0.01045	7.011089999999999	5.123819999999999	4.97831	0	0.011170000000000001	8.03572	2.7168799999999997	14.2032	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465	4.4669099999999995	0.0070599999999999994	3.78765	12.51499	0	2.67282	1.93891	1.82673	5.8482400000000005	2.4716299999999998	0	0	0	0	0.11202000000000001	2.75885	0	0	4.41981	0	0	0	1.29416	2.4337	0	5.61465	0	0	0	0	11.148539999999999	5.08194	0	2.08497	0	0	3.1286	0.8783299999999999	1.8193599999999999	9.55268	0	4.9403	0	0	0	0.18735	0	1.8038599999999998	0	4.61158	0	0	0	0	0	0	0	1.9734200000000002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__GCF_000209875	4.14155	0.057870000000000005	0	0	7.898639999999999	0.60336	1.16171	6.66427	0	2.2389	3.0481	0	0	11.52492	9.16182	9.88565	0	6.01866	2.39949	3.54765	0	5.23405	4.18657	0	0	0	0	0	0	0	0.75088	3.8502400000000003	0	0.25349	0	2.49627	2.63423	3.37088	0.01228	0	0	5.19042	0	0	5.72545	0	0	2.95226	0	3.01064	5.22805	0	4.91988	0	1.64488	0	0.47645	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465	3.24169	0	0	0	0	0	0	0	0	0	0	1.8763	1.7021400000000002	0	0	0	0	0	0	0	0	0	2.137	0	0	0	0	0	0	2.2614099999999997	3.16182	1.0662399999999999	0	0	0	0.08476	0	0.65287	1.5614	0	0	2.87445	0	2.73208	0	0.7558199999999999	0	0.50521	0	2.63291	0	0	0	0	5.41115	0	6.23489	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified	2.7185799999999998	0	2.66851	0	5.29017	0	0.09883	0.8279700000000001	0.8543700000000001	0	2.0745299999999998	0.9047200000000001	1.6581	0	1.06277	0.51565	1.4560600000000001	0	0	0	3.19149	0	1.2730700000000001	1.29206	2.34959	0.49331	0.88303	6.18403	0	0.61953	3.1987	12.83153	0	1.20685	0.56484	0.60207	0	1.76659	1.36289	2.67845	0	0.71272	0.17989000000000002	1.8130099999999998	0	0.89586	0.40845	0.0766	2.34133	2.57294	0	0	3.12827	0	0	0.43398000000000003	0	2.68261
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	2.53757	0.01662	0.47156000000000003	1.03341	0	1.79181	2.5859	4.8452	3.41426	0	3.52544	0	0	0	6.66667	3.30134	0	0	0.82329	2.90904	0	0	1.6559	3.2523400000000002	2.54469	0.79988	0	0	0	0	1.99665	3.07028	0	3.6614400000000002	0	5.2860000000000005	1.40012	1.03653	1.66022	0.28681	0	1.0161	0	0	0	1.12432	1.3927399999999999	0.48736999999999997	0	1.14915	0.82191	0.20171	0	0	0.22678	0.58296	0.28255	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16|t__GCF_000177015	1.9523599999999999	0	0.9184899999999999	0	0	0	0	0.00108	0	0.08251	0	0	0	0.36785999999999996	0	2.32777	0	1.1381	0	0	0	0	0	0.00403	0	0	0	0	0	0	0.08089	0.53969	0	0.02878	0	0	0	0	0	0.41748999999999997	0.33216999999999997	1.56901	0	0	0	0	0	0.04532	0	0.21366	0.00115	0	0	0.01587	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified	1.72236	0.013940000000000001	0.36516	0.0066099999999999996	0.0060799999999999995	0.37203	0.42063999999999996	0.3001	0.95965	0.8412200000000001	0.03352	0.9223100000000001	2.61717	4.12311	0.01066	0.00134	19.40009	0.01993	0.62988	0.27604	0.00558	2.59268	0.06297	0.03045	0.91256	0.11969	0.35755	0.00924	7.70689	0.87764	0.23828000000000002	1.70202	4.00418	0.01017	0.61314	0.02247	0	0.00132	0.3435	0.50395	3.46083	0.5715600000000001	0.04371	1.9843	2.31874	0.04952	0.09072999999999999	0.4427	0.5989899999999999	0.82714	1.7917299999999998	21.23798	4.00497	0	0.00131	0.07107000000000001	0	9.567689999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065	1.71724	0	0.49488999999999994	0	0	0.13299	0.82611	0.42526	1.34978	0.09287999999999999	0.06302	0	0	1.10048	0.31111	0.18455	0	0	0.26991	0	0.10480999999999999	0	0.008459999999999999	0	0	0.051539999999999996	0.0070599999999999994	0	0	0	0.40546	0.54145	0	0.39225	0	2.13718	0	0	0.51603	0.47475	0	1.78292	0.21227	0	0	0.1098	0	0.0923	0	0.36218	0	0	0	0	0.55787	0.34823000000000004	0.21335	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	1.60458	0.00297	0	2.32745	0	0.6326	3.04711	0.2325	0.253	0	3.6141	0	0	2.30596	1.6750900000000002	0.06679	0	0.6803	0.69087	4.90148	3.5952699999999997	0	0.9396899999999999	0.14192000000000002	0.00707	0.74834	0.17042000000000002	25.58195	0	0	0.59407	1.5298100000000001	0.06097	0.02298	0	0.10685	1.28211	1.20945	0	0	0.9108700000000001	4.208080000000001	0	0	0	0.00428	69.17387	0	0	1.84588	0.01986	2.77608	0	30.335290000000004	0.12648	0	0.025269999999999997	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47|t__GCF_000144975	1.3742	0	0.21300999999999998	0	0	0	0	0.030910000000000003	0	0	0.19044	0	0	0	0	0	0	1.15057	0	0	0	0	0	0	0	0	0	0	0.08326	0	0	0.7205199999999999	0.09892999999999999	0	0	0	0	0	0.049510000000000005	0.25347	0	0	0	0	0	0.02837	0	0	0	0	0.010159999999999999	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified	1.27983	0	2.012	0.12611	2.39325	0.24647	0.7809699999999999	2.7333	0.33925	0.39733	1.73036	0.9771299999999999	0.19232	1.0979700000000001	1.54382	1.2265	0.08846	0.11707000000000001	0.92064	2.1148	3.86884	0	0.26861999999999997	1.6611200000000002	0.6471	0.38927	0.03166	6.385330000000001	0	2.0986599999999997	0.25924	2.00408	8.97471	0.58692	0.044180000000000004	0.15045	1.26357	0.07416	0	2.12308	0.74495	0.9407200000000001	4.567480000000001	0.37055	0.30209	0.1258	1.44367	4.20554	0.5877899999999999	1.2920200000000002	1.9098400000000002	1.27967	1.86053	3.62206	4.92814	1.78665	1.21948	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis|t__Bacteroides_massiliensis_unclassified	1.19367	0	0	0	0	0	2.0301400000000003	0	0	0	2.87227	0	0	0.00851	0	0	0	0	0	0	9.156460000000001	0	0	0.02624	38.47852	1.5065	0	0	0.01151	4.12374	0.48461000000000004	0.15213	0	0	0	9.12013	0.0012699999999999999	0.00997	0	0	0	6.0170900000000005	0.73206	16.84248	0	0	0.08383	1.04967	0.00124	0.03249	0	0	0	0	0	10.74911	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19|t__GCF_000163655	1.10496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified	0.7840600000000001	0	0.54289	0	0	0.41578000000000004	0.53422	0.13999	0.17235999999999999	1.07015	0.6412899999999999	0.22524	0	0.40297	0.08976	0.30217	0	0	0.05218	0	0	0	0	0.342	0	0.09928	0	0	0	0	0.20160999999999998	0.17301	0	0.18706	0.10375999999999999	0.01321	0	0.11022	0.4317	0.19144	0	0.4475	0	0	0	2.03946	0	0.9956200000000001	0	0.13145	0	0	0	0	1.05616	0.26239	0.42803	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345	0.77447	0	0.00457	0	0	1.83133	0.16175	0	0	0	0.04426	0	0	0	0	0	0	0	0.1627	0	0	0	0	0.22105999999999998	0	0	0	0	0	0	0.11017	0.08753999999999999	0	0.75555	0	0.00996	0.41518	0	0.0313	0	0	0.30278	0	0	0	0	0	0.00672	0	0.036410000000000005	0	0	0	0	0	0.41655	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified	0.7649	47.76617	0	0	1.2987	0.15925	0.26005	0	0.99411	0.00161	2.9312400000000003	0	0	0	0.12365	0.07006	0.00301	1.6586	0.04124	0.02339	0	0	0.00058	10.61306	0.0362	0.77763	0.06529	0	0	0.04397	0.044910000000000005	0.35044000000000003	0	8.61388	0	0.56226	3.44553	0	0.1227	0.029160000000000002	0.03507	0.10647999999999999	0	0.02047	0.08745	0.44556	4.7227	0.0179	0.58106	0.17507	0	0	0	0.00587	0.08524	0.8577600000000001	0	0.08489
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975	0.73714	0	0.60269	0	0	0.21877	1.1602700000000001	0.06414	0	0.01553	0.99989	0.15275	0	1.02911	0	2.20506	1.8546799999999999	0	0.8767299999999999	0	0.78374	0	0.02384	1.54396	0	0.13433	0.00462	0	0	0	0.22666999999999998	0.20132	0	3.0617400000000004	0	1.40911	0	0.22965	0.25869000000000003	0.09068999999999999	0	0.41631999999999997	1.61766	0	0	1.42106	0	0.02113	0.67685	0.07597999999999999	1.9542099999999998	0.19178	0	0	0.8874299999999999	0.23251	0.43585	1.6488900000000002
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified	0.63585	24.53499	0.00095	0	0.9805299999999999	0	0.09731000000000001	0.13484000000000002	0.09959	0.0296	0.96094	0.00494	0	0	0.15275	0	0	2.33954	0.29756	0.0061	0	0	0	4.5711900000000005	0.11764000000000001	0.09632	0.0047799999999999995	0	0	0.03248	0.051829999999999994	0.63045	0.0238	0.49055	0.01204	0	5.7817300000000005	0	0.28868	0.027939999999999996	0	0.04433	0	0.00187	0.02275	0.07468	1.2953299999999999	0.12943	0.64527	0.05413	0	0	0.06846000000000001	0	0	1.91435	0	0.1365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575	0.51381	0	0.039169999999999996	0	0	0.08227999999999999	0.09951	0.72622	0.0042899999999999995	0	1.71186	0.03611	0	4.22409	0.5289	1.16313	0	8.56975	0.29969	0	0	0	0.49522	0.00624	0	0.92379	0	0	0.56817	3.6782800000000004	2.78557	1.2145	0.39248	0.00137	0	2.65466	0	0.45022	0.3498	0.0776	6.1975	2.45225	0	3.09248	0	0.1157	0	0.8284799999999999	0	2.76935	0	0	0.03676	0	0.28749	1.6866700000000001	0.53575	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara|t__GCF_000233955	0.40931999999999996	0	0.17326	0	0	0	0.042730000000000004	0	0	0	0.02433	0	0	0	0	0	0	0	0	0	0	0	0	0.18925999999999998	0	0.05707	0	0	0	0	0	0.1607	0	0.14493	0	0.23242	0	0	0	0.33134	0	0	0	0	0	0	0	0.12007000000000001	0.17747000000000002	0	0	0	0	0	0	0.07562999999999999	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified	0.38385	0.01195	2.49421	8.12818	0.008029999999999999	0.91555	2.1612299999999998	4.20441	15.080070000000001	3.3321	2.39961	1.60578	0	0.05155	1.6506900000000002	0.28986	0	0.03714	1.53646	0.01287	4.58735	0.00466	0.27660999999999997	2.52916	0	0.95754	0.00091	0	0.01734	0.0057799999999999995	0.39033	0.17157	0.04658	1.3850799999999999	2.27198	0.26892	0	0.3351	0.5937100000000001	3.34334	0	2.50113	7.8759	0.00813	0.01665	0.40348	0.00758	1.19623	0.18747	0.47581999999999997	0.0040100000000000005	0.06632	1.3191	0.02108	21.48009	1.8655599999999999	19.07532	0.00911
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica|t__GCF_000157975	0.3822	0	0	0	0	0	0	0	0	0.03789	0	0	0	0	0	0.25669000000000003	0	0	0	0	0	0	0.03888	0.33166	0	0	0	0	0	0	0	0.14401	0	0.29763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23831999999999998	0.01023	0.00225	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified	0.36391999999999997	0.28319	0.28395	0	0	0	0	0	0.33696	0	0.027089999999999996	0	0	0	0	0.12688	0	0.07256	0	0	0.02721	0	0	2.58838	0	0	0	0	0	0	0	0.00172	0.17222	0.48263	0.23861999999999997	0	0	0	0	0.00224	0	0	0	0.027239999999999997	0	0	0	0	0	0	0.0172	0	0	0	0	0.42203	0	0.12700999999999998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified	0.25211999999999996	0	0.04553	0	0	0	0.36751999999999996	0	0.04356	2.30595	0	0.08122	0	0.029589999999999998	0	0	1.11855	0.5123800000000001	0	0	1.19686	0.0034799999999999996	0	0.09812	1.67577	0.08048	0	0	0	0.27132	0.09682	0.08762	0.01066	0.04566	0.034210000000000004	0.14178	0	0.00842	0	0.38513000000000003	1.01425	0.29863	1.4397	0	0	0.02308	0.05799	0.01596	0	0.07211000000000001	0.00503	0.00379	0	0	1.6248200000000002	0.059179999999999996	0.42885	0.38816999999999996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__Clostridium_bolteae_unclassified	0.19563	0.00106	0.0771	0.23715	0.04247	0	0.04456	0.01128	0.06276	0	0.03563	4.8819300000000005	0	0.18435	0	0.00313	0.11413	0.19564	0	0.25279	0.63449	0.47625	0	0.04428	0.32487	0.11944	0	0	8.78041	0.32884	0	0.41008999999999995	4.11749	0.021159999999999998	0	0	0.23822	0.003	0.019280000000000002	0.21595	0.40614	0.01961	1.37762	0.36311	0	0.0686	0	0.07422000000000001	0	0.33858	0.20954	0	0.35154	0.31951	0.26695	0	0.34039	3.00642
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified	0.18175	0	0	9.55343	0.00894	5.668069999999999	2.9636299999999998	0	4.55679	0	0	3.68094	0	8.32789	0	0.01885	0	0	5.72792	0	1.4538200000000001	0	1.08935	2.2728099999999998	0	1.32311	9.90122	0	0.33523000000000003	0	1.40048	0.11921	4.16479	0.8496799999999999	0	0.80292	0	0.64171	1.5956700000000001	0	0	0	5.6860800000000005	0	0	0.51805	0	0.24266999999999997	4.33357	1.47708	0	0	0.57785	0	0	0.79384	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus|t__Ruminococcus_gnavus_unclassified	0.13516	0	0.09748	0.07555	0.46429	0	0.0091	1.13036	4.09021	0.06147999999999999	0.04245	0.73246	0.41703	1.3109899999999999	0.73903	0	0.30518	2.67529	0	5.80417	0.7045600000000001	3.94743	0.1225	0.01736	0.9592200000000001	0	0.37099	0	0.62441	0.45206	0	0	9.978489999999999	0.0144	2.3847099999999997	0	0.7994399999999999	0	0	0.03723	0.25839	0.00895	0.9390299999999999	1.16749	0.89841	0.01844	0	0	0	0	0.38261	2.87073	0.04189	7.261880000000001	0.63203	0.07554	0.25051	0.26815
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme|t__Clostridium_clostridioforme_unclassified	0.11771	0	0.0009	0.22459	0	0	0.10812999999999999	0.20405	0.56571	0	0	0	2.72125	0.01492	0.03444	0	0	0.7135600000000001	0	1.7790700000000002	0.02081	11.806339999999999	0.00218	0.01614	0.0764	0.0057399999999999994	0.9083700000000001	0.15765	1.04225	0.08206000000000001	0	0.60321	0.81767	0	10.31778	0	0	0	0	0	1.59816	0.015719999999999998	0.09323	0.22333000000000003	1.99407	0	0	0	0.14866	0	0.73749	0.06354	9.75353	0.44781000000000004	0.09785	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis|t__GCF_000205025	0.1113	0	0.0036899999999999997	0.04332	0	0	0	0.049819999999999996	0	0	0.32861	0	0	0	0	0	0	0.62434	0	0	0	0	0	0	0	0	0	0	0.14097	0	0	0.00139	0.1291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16609000000000002	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified	0.10787999999999999	0.06812	0.16808	8.28673	0.13185999999999998	0.42865	7.3010600000000005	5.68646	2.1867	13.32771	2.56434	17.490479999999998	0.01898	14.317929999999999	1.6430799999999999	2.96264	2.1038900000000003	0.02238	0.80538	0.06837	8.368360000000001	0.02396	5.49025	0.6983600000000001	8.30688	16.14235	8.69933	0.3464	13.52425	32.02244	0.09117	0.32454	9.18823	0.82285	23.95112	1.124	0	5.4197	2.57931	0.8124399999999999	0.00262	2.69732	5.9199	19.00531	0.04335	1.8418299999999999	0.47125	3.2148	4.16065	8.805489999999999	33.512640000000005	0.02999	9.22863	0.031689999999999996	24.303910000000002	1.05053	11.91131	8.14897
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345	0.1056	0	0	3.1169599999999997	0.16522	0	0.8979600000000001	0.3244	0	0	0.013040000000000001	0.23878000000000002	0.0294	0.07586	0.48131999999999997	0.42883999999999994	0	0	0	0.58407	0	0.08167999999999999	0.24502	0.12205	0	0.06302999999999999	0	0.02878	0	0.35024	0.12237	0.05825	0.12995	0.06279	0	0	0.00715	0.14978	0.1082	0.01791	0.09932	0.05152	0	0.13954	0.21522	0.00662	0	0	0.0459	0.09976	1.01794	0.14007	0.038419999999999996	0	0.1849	0.02288	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified	0.10550999999999999	0.00022999999999999998	4.95376	0	0	0.23360999999999998	0	0	0	0.42698	0.8512299999999999	1.02141	0	0	0	0.07201	0.07857	0.46558999999999995	0.29908	5.67052	2.6977700000000002	10.46422	0.13177	0.15375	5.63636	0	11.643419999999999	0	3.15219	0	0.021269999999999997	1.8137599999999998	5.44311	0.09266	5.45985	1.02121	0	0.43358	0	5.07216	4.41686	0.022119999999999997	5.82568	0	13.97909	0	0.27689	0.028569999999999998	0.67601	0.28004	0	0	0.7507699999999999	0	6.54582	0.81462	4.27035	1.5042799999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875	0.10496	0	0.05897	0	0	0.03098	0	0	0	0.00563	0	0	0	0	0	0.43293000000000004	0.10007	0.00873	0.42668	0	0	0	0	0.01642	0	0	0	0	0	0	0.00434	0.027639999999999998	0	0.20670999999999998	0	0	0.00995	0.2514	0.17745	0	0	0.01759	0	0.00202	0	0.5755600000000001	0	0.03648	0	0.00744	0	0	0	0.01924	0.20661	0	0.13097	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified	0.08692000000000001	0	0.06567	0.034010000000000006	0	1.69622	3.40761	0.02027	0	0	0.13472	0.10593	0	5.7603599999999995	0	0	0	0	0.28944000000000003	1.16393	0.00524	0	0	0.35084	9.394969999999999	0.03818	0.057339999999999995	0	0	1.3357	0	0.02562	0	0.3712	0	0	0	0	0.03673	0.60787	1.9219700000000002	0	2.68815	0.36829	0	0	0.0055899999999999995	3.3162199999999995	0.033639999999999996	0	0.51055	0	0	0	0.059129999999999995	0.67756	0.03587	0.03532
