Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Propionibacterium|acnes	0	0	0	0	0	0	0	0.000272943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000788312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Other	0	0	0	0.000126217	0.00121812	0.00308864	0	0.000650864	0.0163561	0.000636359	0.00677935	0.000357398	0.004817282	0.000543603	0.010163828	0.000998336	0.001147052	0	0.000426576	0	0.002664129	0	0.003346734	0	0	0.045210118	0.012783214	0.000221053	0.005833509	0.004230421	0.010463565	0	0.000234999	0	0	0.000850742	0.000647141	0	0.000181628	0	0.001977981	0.000183226	0.001543356	0	0.036634869	0	0	0	0	0.0076747	0.0001694	0.001320818	0	0.005656323	0.000221068	0.001800137	0.000103861	0.009820134	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|	0	0	0	0.012537602	0.015797488	0.009858261	0	0.000818829	0.01885806	0.006083592	0.001236773	0.012671389	0.004177487	0.01714441	0.00259897	0	0.004955265	0	0	0	0.000285442	0	0.006588225	0.00027222	0	0.003335989	0.027946751	0	0.000578095	0.000189422	0.000937969	0	0.001201107	0	0	0	0	0.000864992	0.003814194	0	0.000522486	0	0.000188982	0	0.007814086	0	0	0	0	0.000740541	0.006132267	0.002613534	0	0.004771535	0	0.00011843	0.000103861	0.001195716	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|adolescentis	0	0.012164789	0.024778643	0.01232724	0.190026646	0.035752063	0	0.095760986	0.000261399	0.020134399	0.097476066	0.00045487	0.001505401	0.025235736	0.00949088	0.002995008	0.027253957	0	0.010851018	0	0.023850301	0	0.107453325	0.001823874	0	0.002116112	0.00030856	0	0.018998318	0.010376108	0.053276638	0.000527328	0.039662646	0	0	0	0.012990748	0.002906373	0.006402397	0	0.002500467	0.004305804	0.006866358	0.030153492	0.001370002	0	0	0.003833826	0	0.000134644	0.005488549	0.004271583	0	0	0	0	0.020979929	0.007174295	0.00714479
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|longum	0.0252443	0.019877516	0.018578406	0.003660307	0.018880853	0.011339116	0.050319306	0.002141552	0.006983084	0.012472637	0.027804498	0.001007213	0	0.04875703	0.015477793	0.00040673	0.043909153	0.042200855	0	0.001451954	0.008372978	0.023600359	0.017596666	0.001034436	0	0.115365465	0.040333245	0.002763164	0.012691823	0.005472187	0.011026347	0	0.008433861	0.012588054	0	0.000535652	0.002061263	0.000103799	0.00590292	0	0.009255458	0.000503871	0.000503953	0.01147407	0.012634463	0	0.012751376	0.006787757	0	0.006664871	0.005285269	0.000646358	0	0.004676736	0.003500239	0.000734267	0	0.003841555	0.001082544
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae||	0.000364307	0.000209017	0.00022303	0.046658392	0.002283974	0.002898244	0	0.00119675	0.000112028	0.002443619	0.009802574	0	0.000112905	0	0.000208846	0.006692549	0.001514109	0	0	0.000219993	0	0	0.000399924	0.001034436	0	0.000746863	0.00026448	0	0.000289048	0.010523436	0.002251126	0.001271791	0.000626665	0.000125047	0	0	0.001270313	0	0.000544885	0	0.000223922	0.000183226	0.000755929	0.000514668	0.000253704	0.00013552	0	0	0	0	0.003862312	0.002669739	0	0.000221197	0	0.000142116	0.002830213	0.001653649	0.001461434
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Adlercreutzia|	0.000171438	0.000334427	0.000691393	0.000189326	0.00060906	0.000169241	0	0.000230952	0.000186713	0.000127272	0.000916128	0.000162454	0.000564525	0	0.000696153	0	0	0	0.000319932	0.000747976	0.000412306	0	0	0.000653328	0.000872558	0	0	0	0	0.001368047	0.000396031	0.004218624	0.000600554	0.000125047	0	0	0.000383491	0.000207598	0	0	0.001082291	0	0	0.000666041	0	0.000406559	0	0.000565646	0	0.000471254	0.001626237	0.000365333	0.00099383	0.000379195	0.000515825	0.00023686	0.000129826	0.003790673	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella|	0.001242928	0	0	2.10E-05	0	0	0	0	0	0	4.58E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella|aerofaciens	0.016308075	0.006186903	0	0.005385279	0.037076513	0.030717157	0	0.022801235	0.02356324	0.015654432	0.080710916	0.018487231	0	0	0	0.009317804	0.017435192	0	0.031166684	0.006951778	0.005137964	0	0.017449325	0.003538859	0	0	0.028916512	0.000221053	0.007751734	0.031759729	0.006148908	0.00089956	0.009869967	0	0.001537656	0	0.012223767	0.004463359	0.004767743	0	0.004366486	0.009665155	0.002236291	0.010929127	0.005682971	0	0	0.002325435	0	0	0.008944301	0.003850045	0	0	0	0.002866008	0.011684366	0.0234055	0.006332882
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella|stercoris	0	0	0.003144724	0	0	0	0	0.000398917	0.001419022	0	0	0	0	0	0	0.000554631	0	0	0	0	0	0	0	0	0	0	0	0.007714753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004269183	0	0	0	0	0	0	0.001895974	0.000257912	0	0.000129826	0	0
