#SampleID	Metaphlan2_Analysis
k__Bacteria	99.94976
k__Archaea	0.03889
k__Viruses	0.01135
k__Bacteria|p__Firmicutes	59.94682
k__Bacteria|p__Bacteroidetes	37.17536
k__Bacteria|p__Actinobacteria	1.84115
k__Bacteria|p__Proteobacteria	0.98277
k__Archaea|p__Euryarchaeota	0.03889
k__Viruses|p__Viruses_noname	0.01135
k__Bacteria|p__Verrucomicrobia	0.00366
k__Bacteria|p__Firmicutes|c__Clostridia	59.53295
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	37.17536
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.84115
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.67558
k__Bacteria|p__Firmicutes|c__Bacilli	0.38662
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.30718
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.03889
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02453
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.01135
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00366
k__Bacteria|p__Firmicutes|c__Negativicutes	0.00272
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	59.53295
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	37.17536
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.8351
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.67558
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.38662
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.30718
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.03889
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.02453
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.01135
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00605
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.00366
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.00272
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	33.20221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	28.99801
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	15.45749
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.63975
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	5.29146
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.8351
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.28966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.05532
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.91589
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.68034
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.67558
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.3638
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.30718
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.15658
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.03889
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.02453
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.02283
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.0216
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.01135
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.00605
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.00366
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.00272
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	33.20221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	28.99801
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	8.99239
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	5.29146
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	4.77295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	3.46365
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	3.31622
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	2.95226
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	1.27093
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	1.13977
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	1.08792
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	1.05532
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	0.68034
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.64866
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0.50521
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.3638
