#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	59.90447
k__Bacteria|p__Firmicutes	38.30336
k__Bacteria|p__Proteobacteria	0.93185
k__Bacteria|p__Actinobacteria	0.54315
k__Bacteria|p__Verrucomicrobia	0.31717
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	59.90447
k__Bacteria|p__Firmicutes|c__Clostridia	35.64442
k__Bacteria|p__Firmicutes|c__Negativicutes	2.05833
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.69027
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.54315
k__Bacteria|p__Firmicutes|c__Bacilli	0.39931
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.31717
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.2167
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.2013
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.02487
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	59.90447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	35.64442
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.05833
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.69027
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.54315
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.39931
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.31717
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.2167
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.2013
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.02487
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	38.70311
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	16.35859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	14.53914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	13.5094
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.00795
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.96528
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.72668
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	2.03281
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.69027
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.54315
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.41864
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.324
