#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99147
k__Viruses	0.00853
k__Bacteria|p__Proteobacteria	37.9171
k__Bacteria|p__Firmicutes	33.72148
k__Bacteria|p__Bacteroidetes	21.27224
k__Bacteria|p__Verrucomicrobia	5.82872
k__Bacteria|p__Actinobacteria	1.25194
k__Viruses|p__Viruses_noname	0.00853
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	33.88877
k__Bacteria|p__Firmicutes|c__Clostridia	23.00891
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	21.27224
k__Bacteria|p__Firmicutes|c__Bacilli	7.0607
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5.82872
k__Bacteria|p__Firmicutes|c__Negativicutes	3.38866
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2.25342
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.7749
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.25194
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.26321
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00853
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	33.88877
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	23.00891
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	21.27224
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	7.0607
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	5.82872
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.38866
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2.25342
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.7749
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.93769
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.31425
