#SampleID	Metaphlan2_Analysis
k__Bacteria	99.69466
k__Archaea	0.30534
k__Bacteria|p__Bacteroidetes	77.60952
k__Bacteria|p__Firmicutes	20.84329
k__Bacteria|p__Proteobacteria	0.6901
k__Bacteria|p__Actinobacteria	0.48298
k__Archaea|p__Euryarchaeota	0.30534
k__Bacteria|p__Verrucomicrobia	0.06877
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	77.60952
k__Bacteria|p__Firmicutes|c__Clostridia	20.72908
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.6901
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.48298
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.30534
k__Bacteria|p__Firmicutes|c__Bacilli	0.07645
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.06877
k__Bacteria|p__Firmicutes|c__Negativicutes	0.02487
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0129
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	77.60952
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	20.72908
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.6901
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.41754
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.30534
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.07645
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.06877
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.06545
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.02487
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0129
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	69.49487
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	8.31659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	7.20739
