#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	76.39987
k__Bacteria|p__Bacteroidetes	15.13747
k__Bacteria|p__Actinobacteria	5.89579
k__Bacteria|p__Verrucomicrobia	2.34801
k__Bacteria|p__Proteobacteria	0.21886
k__Bacteria|p__Firmicutes|c__Clostridia	74.91451
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.13747
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.89579
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2.34801
k__Bacteria|p__Firmicutes|c__Bacilli	1.26303
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.22232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.21886
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	74.91451
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	15.13747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	4.0497
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2.34801
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.60006
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.26303
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.24603
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.22232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.21886
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	54.96998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	10.03441
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	8.65758
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	6.36265
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.90509
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	4.0497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.60332
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	2.34801
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.60006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	1.26642
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.26303
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.59468
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.43197
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0.23407
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.22232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.21886
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.19039
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.0355
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.01195
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	38.59488
