#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	54.51551
k__Bacteria|p__Actinobacteria	16.86769
k__Bacteria|p__Bacteroidetes	14.336
k__Bacteria|p__Verrucomicrobia	10.05112
k__Bacteria|p__Proteobacteria	4.22968
k__Bacteria|p__Firmicutes|c__Clostridia	52.42586
k__Bacteria|p__Actinobacteria|c__Actinobacteria	16.86769
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	14.336
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	10.05112
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.39927
k__Bacteria|p__Firmicutes|c__Negativicutes	1.96595
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.83041
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0942
k__Bacteria|p__Firmicutes|c__Bacilli	0.02949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	52.42586
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	14.336
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	13.51902
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	10.05112
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	3.30536
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	2.39927
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.96595
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.83041
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0942
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.04331
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.02949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	27.6115
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	13.51902
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	11.61557
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	10.05112
