#SampleID	Metaphlan2_Analysis
k__Bacteria	99.6127
k__Archaea	0.3873
k__Bacteria|p__Bacteroidetes	55.07213
k__Bacteria|p__Firmicutes	31.23637
k__Bacteria|p__Verrucomicrobia	10.00801
k__Bacteria|p__Proteobacteria	2.593
k__Bacteria|p__Actinobacteria	0.57578
k__Archaea|p__Euryarchaeota	0.3873
k__Bacteria|p__Fusobacteria	0.12741
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	55.06131
k__Bacteria|p__Firmicutes|c__Clostridia	30.75341
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	10.00801
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.4072
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.1858
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.57578
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.4145
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.3873
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.12741
k__Bacteria|p__Firmicutes|c__Bacilli	0.06846
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.01082
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	55.06131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	30.75341
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	10.00801
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.4072
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.83856
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.53491
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.4145
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.3873
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.34724
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.12741
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.06846
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.04087
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.01082
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	27.0123
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	18.44805
