#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	83.68379
k__Bacteria|p__Firmicutes	13.47118
k__Bacteria|p__Proteobacteria	1.52211
k__Bacteria|p__Verrucomicrobia	0.97375
k__Bacteria|p__Actinobacteria	0.34917
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	83.68236
k__Bacteria|p__Firmicutes|c__Clostridia	13.36377
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.50589
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.97375
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.34917
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.05783
k__Bacteria|p__Firmicutes|c__Bacilli	0.04958
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.01622
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.00143
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	83.68236
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	13.36377
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.50589
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.97375
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.26932
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.07985
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.05783
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.04958
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.01622
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.00143
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	73.45692
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.06446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	4.55575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.98145
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.16099
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.73309
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	1.50589
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.38236
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.97375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.66156
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.26932
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.07985
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.05783
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.04958
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.04955
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.01622
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.00143
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	73.45692
