#SampleID	Metaphlan2_Analysis
k__Bacteria	99.81442
k__Archaea	0.1667
k__Viruses	0.01889
k__Bacteria|p__Firmicutes	46.63599
k__Bacteria|p__Bacteroidetes	42.04608
k__Bacteria|p__Actinobacteria	6.63316
k__Bacteria|p__Proteobacteria	4.49669
k__Archaea|p__Euryarchaeota	0.1667
k__Viruses|p__Viruses_noname	0.01889
k__Bacteria|p__Verrucomicrobia	0.0025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	42.04608
k__Bacteria|p__Firmicutes|c__Clostridia	41.03324
k__Bacteria|p__Actinobacteria|c__Actinobacteria	6.63316
k__Bacteria|p__Firmicutes|c__Negativicutes	5.39623
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3.41575
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.74472
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.21147
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.1667
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.12476
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.10979
k__Bacteria|p__Firmicutes|c__Bacilli	0.09673
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.01889
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	42.04608
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	41.03324
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.39623
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	4.58421
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3.41575
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	2.04895
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.74472
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.21147
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.1667
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.12476
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.10979
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.09673
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.01889
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.0025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	26.67193
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	17.39025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	11.25121
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	6.8476
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	6.68549
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	6.40447
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	5.29976
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	4.58421
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	4.28687
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	3.23978
