#SampleID	Metaphlan2_Analysis
k__Bacteria	98.56782
k__Archaea	1.43218
k__Bacteria|p__Firmicutes	39.80842
k__Bacteria|p__Actinobacteria	37.87954
k__Bacteria|p__Bacteroidetes	13.99421
k__Bacteria|p__Synergistetes	3.80439
k__Bacteria|p__Proteobacteria	2.8529
k__Archaea|p__Euryarchaeota	1.43218
k__Bacteria|p__Verrucomicrobia	0.22836
k__Bacteria|p__Actinobacteria|c__Actinobacteria	37.87954
k__Bacteria|p__Firmicutes|c__Clostridia	34.27079
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	13.99421
k__Bacteria|p__Synergistetes|c__Synergistia	3.80439
k__Bacteria|p__Firmicutes|c__Bacilli	3.00571
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2.10265
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.9141
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1.43218
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.80328
k__Bacteria|p__Firmicutes|c__Negativicutes	0.42927
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.22836
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.13552
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	35.95741
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	34.27079
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	13.99421
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	3.80439
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.00571
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2.10265
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.92213
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.89167
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1.43218
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.80328
