#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	59.11844
k__Bacteria|p__Firmicutes	34.65842
k__Bacteria|p__Proteobacteria	2.3498
k__Bacteria|p__Fusobacteria	2.09861
k__Bacteria|p__Actinobacteria	1.71774
k__Bacteria|p__Verrucomicrobia	0.05699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	59.11844
k__Bacteria|p__Firmicutes|c__Clostridia	33.8906
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.09861
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.85263
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.71774
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.45733
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.26915
k__Bacteria|p__Firmicutes|c__Bacilli	0.24164
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.22802
k__Bacteria|p__Firmicutes|c__Negativicutes	0.06884
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.05699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	59.11844
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	33.8906
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.09861
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.85263
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.64485
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.45733
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.26915
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.24164
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.22802
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.07289
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.06884
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.05699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	49.93116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	22.38836
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.31155
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	5.8806
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	4.40691
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2.09861
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.87574
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	1.85263
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.64485
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.11093
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.45733
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.26915
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.24164
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.1291
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.1038
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.09893
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.07289
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.06884
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.05699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	49.93116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	19.48696
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	7.28076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	5.8806
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	3.39466
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	2.09861
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	1.87574
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	1.72983
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	1.56216
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	1.54274
