#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	61.16348
k__Bacteria|p__Firmicutes	34.51699
k__Bacteria|p__Proteobacteria	2.40221
k__Bacteria|p__Actinobacteria	1.90691
k__Bacteria|p__Fusobacteria	0.01041
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	61.16348
k__Bacteria|p__Firmicutes|c__Clostridia	16.3605
k__Bacteria|p__Firmicutes|c__Negativicutes	7.99994
k__Bacteria|p__Firmicutes|c__Bacilli	6.23547
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	3.92109
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.90691
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.49328
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.72221
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.18673
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.01041
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	61.16348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	16.3605
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	7.99994
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.16573
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	3.92109
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.48702
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.17527
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.72221
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.66148
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.18673
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.07016
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.06974
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.01041
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00626
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	37.11571
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	20.23603
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	7.95173
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	7.65348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.01728
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	3.92109
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	3.60146
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2.37908
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.98897
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.88468
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.7148
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.62522
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.48702
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.17527
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.72221
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.66148
